elapsed_time,servo_val,motor_speed
0.005,570,0
0.11,570,0
0.132,570,0
0.166,570,0
0.196,570,0
0.228,570,0
0.261,570,0
0.292,570,0
0.324,570,0
0.356,570,0
0.387,570,0
0.419,570,0
0.452,570,0
0.5,570,0
0.531,570,0
0.564,570,0
0.596,570,0
0.628,570,0
0.66,570,0
0.692,570,0
0.725,570,0
0.756,570,0
0.788,570,0
0.82,570,0
0.852,570,0
0.9,570,0
0.931,570,0
0.965,570,0
0.996,570,0
1.029,570,0
1.059,570,0
1.092,570,0
1.123,570,0
1.156,570,0
1.189,570,0
1.22,570,0
1.253,570,0
1.301,570,0
1.333,570,0
1.365,570,0
1.397,570,0
1.428,570,0
1.46,570,0
1.493,570,0
1.523,570,0
1.556,570,0
1.588,570,0
1.62,570,0
1.652,570,0
1.699,570,0
1.733,570,0
1.765,570,0
1.798,570,0
1.828,570,0
1.861,570,0
1.891,570,0
1.924,570,0
1.957,570,0
1.989,570,0
2.021,570,0
2.054,570,0
2.099,570,0
2.131,570,0
2.164,570,0
2.196,570,0
2.228,570,0
2.261,570,0
2.293,570,0
2.325,570,0
2.357,570,0
2.388,570,0
2.42,570,0
2.451,570,0
2.484,570,0
2.533,570,0
2.563,570,0
2.597,570,0
2.628,570,0
2.659,570,0
2.691,570,0
2.724,570,0
2.756,570,0
2.788,570,0
2.82,570,0
2.852,570,0
2.9,570,0
2.932,570,0
2.963,570,0
2.996,570,0
3.028,570,0
3.06,570,0
3.092,570,0
3.124,570,0
3.157,570,0
3.187,570,0
3.221,570,0
3.253,570,0
3.3,570,0
3.333,570,0
3.363,570,0
3.396,570,0
3.428,570,0
3.461,570,0
3.492,570,0
3.525,570,0
3.556,570,0
3.588,570,0
3.62,570,0
3.653,570,0
3.684,570,0
3.732,570,0
3.764,570,0
3.796,570,0
3.828,570,0
3.861,570,0
3.892,570,0
3.923,570,0
3.957,570,0
3.988,570,0
4.02,570,0
4.052,570,0
4.1,570,0
4.132,570,0
4.164,570,0
4.195,570,0
4.228,570,0
4.26,570,0
4.292,570,0
4.324,570,0
4.355,570,0
4.388,570,0
4.42,570,0
4.452,570,0
4.484,570,0
4.533,570,0
4.564,570,0
4.595,570,0
4.627,570,0
4.661,570,0
4.693,570,0
4.724,570,0
4.756,570,0
4.788,570,0
4.82,570,0
4.851,570,0
4.884,570,0
4.932,570,0
4.964,570,0
4.996,570,0
5.028,570,0
5.06,570,0
5.092,570,0
5.124,570,0
5.156,570,0
5.188,570,0
5.219,570,0
5.252,570,0
5.283,570,0
5.332,570,0
5.364,570,0
5.396,570,0
5.428,570,0
5.46,570,0
5.492,570,0
5.524,570,0
5.556,570,0
5.588,570,0
5.62,570,0
5.653,570,0
5.684,570,0
5.732,570,0
5.764,570,0
5.796,570,0
5.829,570,0
