elapsed_time,servo_val,motor_speed
0.001,570,0
0.088,570,0
0.101,570,0
0.153,570,0
0.181,570,0
0.213,570,0
0.246,570,0
0.277,680,0
0.309,680,0
0.342,680,0
0.373,680,0
0.405,680,0
0.436,680,0
0.469,680,0
0.501,680,0
0.548,680,0
0.581,680,0
0.613,680,0
0.645,680,0
0.677,680,0
0.708,680,0
0.741,480,0
0.773,480,0
0.805,480,0
0.838,480,0
0.869,480,0
0.903,480,0
0.949,480,0
0.981,480,0
1.014,480,0
1.045,480,0
1.077,480,0
1.109,480,0
1.141,480,0
1.172,480,0
1.206,480,0
1.238,570,0
1.27,570,0
1.303,570,0
1.349,570,0
1.381,570,0
1.412,570,0
1.445,570,0
1.477,570,0
1.509,570,0
1.54,570,0
1.573,570,0
1.605,570,0
1.637,570,0
1.669,570,0
1.702,570,0
1.733,570,0
1.781,570,70
1.813,570,70
1.847,570,70
1.877,570,70
1.909,570,70
1.941,570,70
1.974,570,70
2.005,570,70
2.036,570,70
2.069,570,70
2.101,570,70
2.148,680,70
2.181,680,70
2.213,570,70
2.245,570,70
2.277,570,70
2.311,570,70
2.341,570,70
2.374,570,70
2.404,570,70
2.438,570,70
2.469,570,70
2.502,570,70
2.55,570,70
2.581,570,70
2.614,570,70
2.646,570,70
2.677,570,70
2.708,570,70
2.74,570,70
2.772,570,70
2.806,570,70
2.837,570,70
2.869,570,70
2.901,570,70
2.933,570,70
2.983,570,70
3.013,570,70
3.045,570,70
3.076,570,70
3.109,570,70
3.141,570,70
3.173,570,70
3.205,570,70
3.236,570,70
3.269,570,70
3.301,570,70
3.332,570,70
3.381,570,70
3.413,570,70
3.445,570,70
3.477,570,70
3.509,570,70
3.542,570,70
3.573,570,70
3.606,570,70
3.638,570,70
3.67,570,70
3.701,570,70
3.733,680,70
3.781,680,70
3.813,680,70
3.845,570,70
3.877,570,70
3.909,570,70
3.942,570,70
3.974,570,70
4.005,570,70
4.037,570,70
4.071,570,70
4.103,570,70
4.133,570,70
4.182,570,70
4.213,570,70
