elapsed_time,servo_val,motor_speed
0.001,570,0
0.09,570,0
0.096,570,0
0.152,570,0
0.159,570,0
0.192,570,0
0.224,570,0
0.256,570,0
0.288,570,0
0.319,570,0
0.352,570,0
0.384,570,0
0.416,570,0
0.464,570,0
0.495,570,0
0.528,570,0
0.56,570,0
0.592,570,0
0.625,570,0
0.656,570,0
0.688,570,0
0.72,570,0
0.751,570,0
0.784,570,0
0.816,570,0
0.865,570,0
0.896,570,0
0.928,570,0
0.96,570,0
0.992,570,0
1.024,570,0
1.056,570,0
1.089,570,0
1.12,570,0
1.152,570,0
1.183,570,0
1.216,570,0
1.265,570,0
1.296,570,0
1.328,570,0
1.362,570,0
1.392,570,0
1.424,570,0
1.456,570,0
1.488,570,0
1.52,570,0
1.552,680,0
1.584,680,0
1.618,680,0
1.664,570,0
1.697,570,0
1.728,570,0
1.761,570,0
1.794,570,0
1.826,570,0
1.857,570,0
1.889,570,0
1.921,480,0
1.952,480,0
1.984,480,0
2.016,480,0
2.047,480,0
2.095,480,0
2.127,570,0
2.159,570,0
2.191,570,0
2.224,570,0
2.256,680,0
2.289,680,0
2.321,680,0
2.353,680,0
2.386,680,0
2.417,680,0
2.464,680,0
2.496,680,0
2.529,680,0
2.56,570,0
2.592,570,0
2.625,570,0
2.656,570,0
2.687,570,0
2.72,570,0
2.751,570,0
2.785,570,0
2.817,570,0
2.865,570,0
2.896,570,0
2.928,570,0
2.961,570,0
2.993,570,0
3.025,570,0
3.056,570,0
3.088,570,0
3.121,570,0
3.151,570,0
3.185,570,0
3.216,570,0
3.249,570,0
3.297,570,70
3.328,570,70
3.361,570,70
3.393,570,70
3.424,570,70
3.456,570,70
3.487,570,70
3.52,570,70
3.551,570,70
3.584,570,70
3.616,570,70
3.664,570,70
3.696,570,70
3.729,570,70
3.76,570,70
3.792,570,70
3.825,570,70
3.856,570,70
3.888,570,70
3.92,570,70
3.952,570,70
3.983,570,70
4.016,570,70
4.048,570,70
4.096,570,70
4.128,570,70
4.16,570,70
4.192,570,70
4.224,570,70
4.256,570,70
4.288,570,70
4.32,570,70
4.352,570,70
4.383,570,70
4.416,570,70
4.448,570,70
4.496,570,70
4.528,570,70
4.561,570,70
4.592,570,70
4.623,570,70
4.656,570,70
4.688,570,70
4.72,570,70
4.752,570,70
4.783,570,70
4.815,570,70
4.848,570,70
4.896,570,70
4.927,570,70
4.961,570,70
4.991,570,70
5.024,570,70
5.056,570,70
5.089,570,70
5.123,570,70
5.152,570,70
5.185,570,70
5.217,570,70
5.248,570,70
5.296,570,70
5.329,570,70
5.362,570,70
5.394,570,70
5.427,570,70
5.46,570,70
5.49,570,70
5.527,570,70
5.552,570,70
5.583,570,70
5.616,570,70
5.649,570,70
5.697,570,70
5.728,570,70
5.76,570,70
5.791,570,70
5.824,570,70
5.857,570,70
5.887,570,70
5.92,570,70
5.952,570,70
5.985,570,70
6.016,570,70
6.049,570,70
6.097,570,70
6.129,570,70
6.16,570,70
6.192,570,70
6.224,570,70
6.256,570,70
6.289,570,70
6.321,570,70
6.353,570,70
6.385,570,70
6.417,570,70
6.449,570,70
6.498,570,70
6.53,570,70
6.561,570,70
6.593,570,70
6.626,570,70
6.656,570,70
6.688,570,70
6.72,570,70
6.753,570,70
6.785,570,70
6.817,570,70
6.85,570,70
6.896,570,70
6.929,570,70
6.961,570,70
6.993,570,70
7.024,570,70
7.057,570,70
7.089,570,70
7.12,570,70
7.153,570,70
7.185,570,70
7.216,570,70
7.248,570,70
7.28,570,70
7.331,570,70
7.361,570,70
7.392,570,70
7.425,570,70
7.457,570,70
7.488,570,70
7.521,570,70
7.554,570,70
7.585,570,70
7.617,570,70
7.649,570,70
7.697,570,70
7.728,570,70
7.76,570,70
7.792,570,70
7.825,570,70
7.857,570,70
7.889,570,70
7.92,570,70
7.953,570,70
7.985,570,70
8.017,570,70
8.048,570,70
8.081,570,70
8.13,570,70
8.161,570,70
8.193,570,70
8.225,570,70
8.257,570,70
8.288,570,70
8.321,570,70
8.353,570,70
8.385,570,70
8.416,570,70
8.447,570,70
8.48,570,70
8.529,570,70
8.561,570,70
8.593,570,70
8.625,570,70
8.656,570,70
8.688,570,70
8.722,570,70
8.753,570,70
8.785,570,70
8.817,570,70
8.85,570,70
8.897,570,70
8.928,570,70
8.96,570,70
8.992,570,70
9.025,570,70
9.058,570,70
9.089,570,70
9.121,570,70
9.153,570,70
9.185,570,70
9.216,570,70
9.248,570,70
9.28,570,70
9.329,570,70
9.361,570,70
9.393,570,70
9.424,570,70
9.455,570,70
9.488,570,70
9.521,570,70
9.553,570,70
9.584,570,70
9.615,570,70
9.648,570,70
9.681,570,70
9.73,570,70
9.761,570,70
9.792,570,70
9.823,570,70
9.857,570,70
9.889,570,70
9.92,570,70
9.951,570,70
9.984,570,70
10.015,570,70
10.049,570,70
10.08,570,70
10.128,570,70
10.16,570,70
10.191,570,70
10.226,570,70
10.258,570,70
10.288,570,70
10.32,570,70
10.352,570,70
10.385,570,70
10.416,570,70
10.448,570,70
10.48,570,70
10.53,570,70
10.561,570,70
10.592,570,70
10.624,570,70
10.655,570,70
10.688,480,70
10.72,480,70
10.753,480,70
10.784,480,70
10.816,480,70
10.849,480,70
10.879,480,70
10.929,480,70
10.96,570,70
10.992,570,70
11.024,570,70
11.057,570,70
11.089,570,70
11.121,570,70
11.152,570,70
11.184,570,70
11.217,570,70
11.25,570,70
11.28,570,70
11.312,570,70
11.36,570,70
11.391,570,70
11.425,570,70
11.456,570,70
11.488,570,70
11.52,570,70
11.553,570,70
11.585,570,70
11.616,570,70
11.648,570,70
11.681,570,70
11.73,570,70
11.761,570,70
11.793,570,70
11.824,570,70
11.856,570,70
11.887,570,70
11.919,570,70
11.951,570,70
11.984,570,70
12.015,570,70
12.048,570,70
12.08,570,70
12.129,570,70
12.16,570,70
12.193,570,70
12.225,570,70
12.256,570,70
12.29,570,70
12.321,570,70
12.352,570,70
12.386,570,70
12.417,570,70
12.449,570,70
12.481,570,70
12.512,570,70
12.56,570,70
12.592,570,70
12.624,570,70
12.656,570,70
12.689,570,70
12.72,570,70
12.753,570,70
12.785,570,70
12.816,570,70
12.848,570,70
12.88,570,70
12.929,570,70
12.96,570,70
12.992,570,70
13.025,570,70
13.057,570,70
13.089,570,70
13.121,570,70
13.153,570,70
13.185,570,70
13.216,570,70
13.249,570,70
13.282,570,70
13.313,570,70
13.36,570,70
13.391,570,70
13.424,570,70
13.456,570,70
13.49,570,70
13.521,570,70
13.553,570,70
13.584,570,70
13.615,570,70
13.648,570,70
13.681,570,70
13.713,570,70
13.762,570,70
13.793,570,70
13.825,570,70
13.856,570,70
13.889,570,70
13.921,570,70
13.952,570,70
13.985,570,70
14.016,570,70
14.048,570,70
14.081,570,70
14.112,570,70
14.16,570,70
14.192,570,70
14.225,570,70
14.256,570,70
14.288,570,70
14.321,570,70
14.352,570,70
14.384,570,70
14.416,570,70
14.448,570,70
14.481,570,70
14.513,570,70
14.561,570,70
14.593,570,70
14.625,570,70
14.656,570,70
14.689,570,70
14.721,570,70
14.752,570,70
14.784,680,70
14.816,680,70
14.848,680,70
14.88,680,70
14.911,680,70
14.961,680,70
14.994,680,70
15.025,680,70
15.056,680,70
15.088,680,70
15.121,680,70
15.152,680,70
15.184,680,70
15.218,680,70
15.25,680,70
15.282,680,70
15.313,680,70
15.36,680,70
15.393,680,70
15.424,680,70
15.456,680,70
15.488,680,70
15.552,680,70
15.593,680,70
15.645,680,70
15.671,680,70
15.691,680,70
15.713,570,70
15.761,570,70
15.792,570,70
15.825,570,70
15.857,570,70
15.895,570,70
15.921,570,70
15.952,570,70
15.984,570,70
16.016,570,70
16.049,570,70
16.08,570,70
16.112,570,70
16.16,570,70
16.192,680,70
16.224,680,70
16.256,680,70
16.289,680,70
16.32,680,70
16.352,680,70
16.384,680,70
16.415,680,70
16.448,680,70
16.48,680,70
16.512,680,70
16.545,680,70
16.593,680,70
16.625,680,70
16.656,680,70
16.687,680,70
16.721,680,70
16.753,680,70
16.784,680,70
16.817,680,70
16.85,680,70
16.88,680,70
16.913,680,70
16.962,680,70
16.993,680,70
17.025,680,70
17.056,680,70
17.088,680,70
17.12,680,70
17.152,680,70
17.185,680,70
17.216,680,70
17.25,680,70
17.281,680,70
17.314,680,70
17.345,680,70
17.394,680,70
17.426,680,70
17.455,680,70
17.488,680,70
17.521,680,70
17.553,680,70
17.584,680,70
17.617,680,70
17.649,680,70
17.681,680,70
17.713,680,70
17.745,680,70
17.794,680,70
17.827,680,70
17.857,680,70
17.888,680,70
17.921,680,70
17.953,680,70
17.985,680,70
18.018,680,70
18.049,680,70
18.081,680,70
18.112,680,70
18.145,680,70
18.193,680,70
18.225,680,70
18.257,680,70
18.29,680,70
18.321,680,70
18.354,680,70
18.384,680,70
18.417,680,70
18.449,680,70
18.481,680,70
18.513,680,70
18.545,680,70
18.593,680,70
18.624,680,70
18.656,680,70
18.689,680,70
18.721,680,70
18.752,680,70
18.784,680,70
18.817,680,70
18.849,680,70
18.88,680,70
18.913,680,70
18.945,680,70
18.993,680,70
19.024,680,70
19.057,680,70
19.089,680,70
19.119,680,70
19.153,680,70
19.185,680,70
19.217,680,70
19.249,680,70
19.281,680,70
19.313,680,70
19.345,680,70
19.392,680,70
19.424,680,70
19.456,680,70
19.489,680,70
19.52,680,70
19.553,680,70
19.585,680,70
19.616,680,70
19.648,680,70
19.68,680,70
19.712,680,70
19.745,680,70
19.794,680,70
19.825,680,70
19.858,680,70
19.889,680,70
19.921,680,70
19.953,680,70
19.986,680,70
20.017,680,70
20.049,680,70
20.08,680,70
20.112,680,70
20.144,680,70
20.194,680,70
20.224,680,70
20.256,680,70
20.289,680,70
20.322,680,70
20.353,680,70
20.384,680,70
20.416,680,70
20.448,680,70
20.481,680,70
20.513,680,70
20.545,680,70
20.577,680,70
20.625,680,70
20.656,680,70
20.688,680,70
20.721,680,70
20.754,680,70
20.784,680,70
20.816,680,70
20.849,680,70
20.881,680,70
20.913,680,70
20.945,680,70
20.994,680,70
21.025,680,70
21.057,680,70
21.089,680,70
21.121,680,70
21.152,680,70
21.185,680,70
21.217,680,70
21.25,680,70
21.28,680,70
21.312,680,70
21.345,680,70
21.393,680,70
21.425,680,70
21.456,680,70
21.488,680,70
21.521,680,70
21.553,680,70
21.585,680,70
21.618,680,70
21.65,680,70
21.681,680,70
21.712,680,70
21.744,680,70
21.778,680,70
21.824,680,70
21.858,680,70
21.89,680,70
21.921,680,70
21.953,680,70
21.985,680,70
22.017,680,70
22.05,680,70
22.082,680,70
22.114,680,70
22.145,680,70
22.177,680,70
22.224,680,70
22.257,680,70
22.289,680,70
22.321,680,70
22.353,680,70
22.384,680,70
22.416,680,70
22.448,680,70
22.48,680,70
22.513,680,70
22.545,680,70
22.577,680,70
22.625,680,70
22.656,680,70
22.688,680,70
22.721,680,70
22.753,680,70
22.786,680,70
22.816,680,70
22.849,680,70
22.881,680,70
22.913,680,70
22.944,680,70
22.977,680,70
23.025,680,70
23.056,680,70
23.088,680,70
23.12,680,70
23.152,680,70
23.186,680,70
23.216,680,70
23.249,680,70
23.281,680,70
23.314,680,70
23.345,680,70
23.377,680,70
23.426,680,70
23.457,680,70
23.49,680,70
23.521,680,70
23.553,680,70
23.585,680,70
23.616,680,70
23.648,680,70
23.681,680,70
23.713,680,70
23.745,680,70
23.777,680,70
23.826,680,70
23.857,680,70
23.889,680,70
23.921,680,70
23.953,680,70
23.985,680,70
24.017,680,70
24.05,680,70
24.08,680,70
24.112,680,70
24.145,680,70
24.177,680,70
24.224,680,70
24.257,680,70
24.289,680,70
24.321,680,70
24.354,680,70
24.385,680,70
24.416,680,70
24.449,680,70
24.481,680,70
24.513,680,70
24.545,680,70
24.577,680,70
24.626,680,70
24.657,680,70
24.688,680,70
24.72,680,70
24.753,680,70
24.785,680,70
24.819,680,70
24.85,680,70
24.882,680,70
24.913,680,70
24.944,680,70
24.977,680,70
25.026,680,70
25.057,680,70
25.088,680,70
25.121,570,0
25.154,570,0
25.185,570,0
25.217,570,0
25.248,570,0
25.28,570,0
25.312,570,0
25.345,570,0
25.377,570,0
25.425,570,0
25.456,570,0
25.489,570,0
25.52,570,0
25.553,570,0
25.585,570,0
25.617,570,0
25.648,570,0
25.68,570,0
25.712,570,0
25.744,570,0
25.776,570,0
25.808,570,0
25.856,570,0
25.888,570,0
25.92,570,0
25.953,570,0
25.984,570,0
26.018,570,0
26.049,570,-70
26.08,570,-70
26.114,570,-70
26.144,570,-70
26.178,570,-70
26.209,570,-70
26.256,570,-70
26.288,570,-70
26.32,570,-70
26.353,480,-70
26.386,480,-70
26.418,480,-70
26.449,480,-70
26.481,480,-70
26.513,480,-70
26.544,480,-70
26.577,480,-70
26.626,480,-70
26.657,480,-70
26.689,480,-70
26.721,480,-70
26.753,480,-70
26.785,480,-70
26.817,480,-70
26.848,480,-70
26.88,480,-70
26.912,480,-70
26.944,480,-70
26.978,480,-70
27.009,480,-70
27.058,480,-70
27.088,480,-70
27.12,480,-70
27.153,480,-70
27.186,480,-70
27.217,480,-70
27.249,480,-70
27.28,480,-70
27.313,480,-70
27.345,480,-70
27.378,480,-70
27.408,480,-70
27.456,480,-70
27.489,480,-70
27.521,480,-70
27.552,480,-70
27.586,480,-70
27.617,480,-70
27.649,480,-70
27.68,480,-70
27.712,480,-70
27.744,480,-70
27.776,480,-70
27.808,480,-70
27.858,480,-70
27.888,480,-70
27.92,480,-70
27.952,480,-70
27.984,480,-70
28.016,480,-70
28.049,480,-70
28.082,480,-70
28.114,480,-70
28.145,480,-70
28.177,480,-70
28.209,480,-70
28.259,480,-70
28.288,480,-70
28.321,480,-70
28.354,480,-70
28.385,480,-70
28.417,480,-70
28.448,480,-70
28.48,480,-70
28.512,480,-70
28.545,480,-70
28.578,480,-70
28.609,480,-70
28.657,480,-70
28.689,480,-70
28.72,480,-70
28.753,480,-70
28.785,480,-70
28.817,480,-70
28.849,480,-70
28.88,480,-70
28.913,480,-70
28.945,480,-70
28.977,480,-70
29.009,480,-70
29.056,480,-70
29.089,480,-70
29.121,480,-70
29.153,480,-70
29.186,480,-70
29.218,480,-70
29.248,480,-70
29.281,480,-70
29.311,480,-70
29.344,480,-70
29.376,480,-70
29.408,480,-70
29.456,480,-70
29.488,480,-70
29.52,480,-70
29.551,480,-70
29.584,480,-70
29.616,480,-70
29.648,480,-70
29.681,480,-70
29.712,480,-70
29.745,480,-70
29.777,480,-70
29.808,480,-70
29.855,480,-70
29.888,480,-70
29.921,480,-70
29.952,480,-70
29.984,480,-70
30.016,480,-70
30.048,480,-70
30.081,480,-70
30.112,480,-70
30.144,480,-70
30.176,480,-70
30.208,480,-70
30.24,480,-70
30.289,480,-70
30.32,480,-70
30.352,480,-70
30.385,480,-70
30.424,480,-70
30.452,480,-70
30.481,480,-70
30.514,480,-70
30.545,480,-70
30.576,480,-70
30.609,480,-70
30.657,480,-70
30.693,480,-70
30.724,480,-70
30.754,480,-70
30.784,480,-70
30.816,480,-70
30.848,480,-70
30.88,480,-70
30.912,480,-70
30.944,480,-70
30.977,480,-70
31.008,480,-70
31.04,480,-70
31.088,480,-70
31.12,480,-70
31.152,480,-70
31.184,480,-70
31.216,480,-70
31.248,480,-70
31.28,480,-70
31.313,480,-70
31.344,480,-70
31.376,480,-70
31.408,480,-70
31.441,480,-70
31.488,480,-70
31.52,480,-70
31.552,480,-70
31.584,480,-70
31.616,480,-70
31.648,480,-70
31.68,480,-70
31.712,480,-70
31.744,480,-70
31.777,480,-70
31.808,480,-70
31.857,480,-70
31.889,480,-70
31.921,480,-70
31.952,480,-70
31.984,480,-70
32.016,480,-70
32.049,480,-70
32.08,480,-70
32.113,480,-70
32.144,480,-70
32.177,480,-70
32.209,480,-70
32.24,480,-70
32.288,480,-70
32.32,480,-70
32.352,480,-70
32.385,480,-70
32.417,480,-70
32.448,480,-70
32.48,480,-70
32.512,480,-70
32.544,480,-70
32.576,480,-70
32.608,480,-70
32.64,480,-70
32.688,480,-70
32.72,480,-70
32.752,480,-70
32.785,480,-70
32.817,480,-70
32.848,480,-70
32.88,480,-70
32.912,480,-70
32.945,480,-70
32.978,480,-70
33.008,480,-70
33.042,480,-70
33.09,480,-70
33.122,480,-70
33.152,480,-70
33.184,480,-70
33.216,480,-70
33.249,480,-70
33.281,480,-70
33.313,480,-70
33.345,480,-70
33.376,480,-70
33.409,480,-70
33.44,480,-70
33.488,480,-70
33.521,480,-70
33.553,480,-70
33.586,480,-70
33.617,480,-70
33.649,480,-70
33.681,480,-70
33.714,480,-70
33.745,480,-70
33.776,480,-70
33.809,480,-70
33.84,480,-70
33.888,480,-70
33.92,480,-70
33.952,480,-70
33.985,480,-70
34.016,480,-70
34.049,570,-70
34.081,570,-70
34.112,570,-70
34.145,570,-70
34.177,570,-70
34.208,570,-70
34.24,570,-70
34.273,570,-70
34.321,570,-70
34.352,570,-70
34.385,570,-70
34.416,570,-70
34.448,570,-70
34.479,570,-70
34.513,570,-70
34.544,570,-70
34.576,570,-70
34.609,570,-70
34.64,570,-70
34.689,570,-70
34.721,570,-70
34.752,570,-70
34.785,570,-70
34.817,570,-70
34.849,570,-70
34.88,570,-70
34.913,570,-70
34.944,570,-70
34.977,570,-70
35.009,570,-70
35.041,570,-70
35.072,570,-70
35.121,680,-70
35.152,680,-70
35.184,680,-70
35.216,680,-70
35.248,570,-70
35.28,570,-70
35.312,570,-70
35.344,570,-70
35.376,570,-70
35.408,570,-70
35.44,570,-70
35.472,570,-70
35.521,570,-70
35.552,570,-70
35.585,570,-70
35.616,570,-70
35.648,570,-70
35.681,570,-70
35.712,570,-70
35.745,570,-70
35.776,570,-70
35.808,570,-70
35.84,570,-70
35.888,570,-70
35.92,570,-70
35.952,570,-70
35.984,570,-70
36.016,570,-70
36.048,570,-70
36.08,570,-70
36.113,570,-70
36.144,570,-70
36.177,570,-70
36.208,570,-70
36.241,570,-70
36.272,570,-70
36.32,570,-70
36.352,570,-70
36.383,570,-70
36.416,480,-70
36.448,480,-70
36.48,480,-70
36.512,480,-70
36.545,570,-70
36.577,570,-70
36.609,570,-70
36.641,570,-70
36.674,570,-70
36.721,570,-70
36.752,570,-70
36.784,570,-70
36.817,570,-70
36.849,570,-70
36.881,570,-70
36.912,570,-70
36.945,570,-70
36.977,570,-70
37.009,570,-70
37.042,570,-70
37.073,570,-70
37.122,570,-70
37.154,570,-70
37.185,570,-70
37.217,570,-70
37.25,570,-70
37.281,570,-70
37.312,570,-70
37.345,570,-70
37.377,680,-70
37.409,680,-70
37.44,570,-70
37.473,570,-70
37.521,570,-70
37.554,570,-70
37.585,570,-70
37.617,570,-70
37.649,570,-70
37.681,570,-70
37.712,570,-70
37.745,570,-70
37.776,570,-70
37.808,570,-70
37.84,570,-70
37.873,570,-70
37.923,570,-70
37.953,570,-70
37.985,570,-70
38.016,570,-70
38.049,570,-70
38.08,570,-70
38.113,570,-70
38.145,570,-70
38.177,570,-70
38.208,570,-70
38.24,570,-70
38.273,570,-70
38.321,570,-70
38.352,570,-70
38.385,570,-70
38.417,570,-70
38.449,570,-70
38.48,570,-70
38.513,570,-70
38.546,570,-70
38.577,570,-70
38.61,570,-70
38.641,570,-70
38.673,570,-70
38.722,570,-70
38.754,570,-70
38.784,570,-70
38.817,570,-70
38.85,570,-70
38.881,570,-70
38.913,570,-70
38.945,570,-70
38.977,570,-70
39.008,570,-70
39.041,570,-70
39.072,570,-70
39.122,570,-70
39.154,570,-70
39.185,570,-70
39.217,570,0
39.25,570,0
39.281,570,0
39.312,570,0
39.346,570,0
39.378,570,0
39.409,570,0
39.44,570,0
39.472,570,0
39.505,570,0
39.554,570,0
39.586,570,0
39.617,570,0
39.649,570,0
39.682,570,0
39.713,570,0
39.745,570,0
39.778,570,0
39.81,570,0
39.842,570,0
39.873,570,0
39.906,570,0
39.953,570,0
39.984,570,0
40.016,570,0
40.049,570,0
40.081,570,0
40.113,570,0
40.146,570,0
40.178,570,0
40.21,570,0
40.242,570,0
40.274,570,0
40.321,570,0
40.353,570,0
40.386,570,0
40.418,570,0
40.449,570,0
40.48,570,0
40.512,570,0
40.544,570,0
40.576,570,0
40.608,570,0
40.64,570,0
40.672,570,0
40.704,570,0
40.752,570,0
40.784,570,0
40.816,570,0
40.848,570,0
40.881,570,0
40.913,570,0
40.944,570,0
40.976,570,0
41.009,570,0
41.04,570,0
41.073,570,0
41.104,570,0
41.153,570,0
41.185,570,0
41.217,570,0
41.249,570,0
41.28,570,0
41.312,570,0
41.345,570,0
41.377,570,0
41.409,570,0
41.441,570,0
41.473,570,0
41.504,570,0
41.552,570,0
41.585,570,0
41.617,570,0
41.648,570,0
41.68,570,0
41.713,570,0
41.745,570,0
41.777,570,0
41.809,570,0
41.841,570,0
41.873,570,0
41.904,570,0
41.953,570,0
41.984,570,0
42.016,570,0
42.05,570,0
42.081,570,0
42.113,570,0
42.144,570,0
42.176,570,0
42.209,570,0
42.24,570,0
42.273,570,0
42.305,570,0
42.353,570,0
42.386,570,0
42.418,570,0
42.448,570,0
42.48,570,0
42.513,570,0
42.544,570,0
42.577,570,0
42.608,570,0
42.64,570,0
42.672,570,0
42.705,570,0
42.752,570,0
42.785,570,0
42.817,570,0
42.849,570,0
42.881,570,0
42.914,570,0
42.945,570,0
42.977,570,0
43.01,570,0
43.04,570,0
43.074,570,0
43.105,570,0
43.153,570,0
43.186,570,0
43.218,570,0
43.25,570,0
43.281,570,0
43.313,570,0
43.346,570,0
43.377,570,0
43.411,570,0
43.44,570,0
43.472,570,0
43.505,570,0
43.537,570,0
43.585,570,0
43.617,570,0
43.649,570,0
43.681,570,0
43.712,570,0
43.745,570,0
43.777,570,0
43.809,570,0
43.841,570,70
43.873,570,70
43.906,570,70
43.937,570,70
43.987,570,70
44.017,570,70
44.049,480,70
44.081,480,70
44.113,480,70
44.144,480,70
44.177,480,70
44.208,480,70
44.241,480,70
44.272,480,70
44.305,480,70
44.354,480,70
44.386,480,70
44.419,480,70
44.449,480,70
44.481,480,70
44.513,480,70
44.545,480,70
44.577,480,70
44.609,480,70
44.641,480,70
44.674,480,70
44.704,480,70
44.736,480,70
44.784,480,70
44.817,480,70
44.848,480,70
44.88,480,70
44.914,480,70
44.946,480,70
44.978,480,70
45.01,480,70
45.042,480,70
45.074,480,70
45.105,480,70
45.136,480,70
45.185,480,70
45.217,480,70
45.25,480,70
45.282,480,70
45.313,480,70
45.345,480,70
45.379,480,70
45.409,480,70
45.44,480,70
45.473,480,70
45.504,480,70
45.536,480,70
45.584,480,70
45.617,480,70
45.65,480,70
45.681,480,70
45.712,480,70
45.744,480,70
45.777,480,70
45.81,480,70
45.841,480,70
45.873,480,70
45.905,480,70
45.938,480,70
45.986,480,70
46.017,480,70
46.05,480,70
46.082,480,70
46.113,480,70
46.145,480,70
46.178,480,70
46.209,480,70
46.241,480,70
46.273,480,70
46.305,480,70
46.336,480,70
46.385,480,70
46.416,480,70
46.448,480,70
46.48,480,70
46.513,480,70
46.544,480,70
46.576,480,70
46.61,480,70
46.64,480,70
46.672,480,70
46.706,480,70
46.736,480,70
46.786,480,70
46.816,480,70
46.849,480,70
46.881,480,70
46.914,480,70
46.945,480,70
46.978,480,70
47.01,480,70
47.041,480,70
47.074,480,70
47.106,480,70
47.137,480,70
47.186,480,70
47.217,480,70
47.249,480,70
47.281,480,70
47.312,480,70
47.345,480,70
47.378,480,70
47.41,480,70
47.441,480,70
47.473,480,70
47.504,480,70
47.537,480,70
47.584,480,70
47.617,480,70
47.649,480,70
47.68,480,70
47.713,480,70
47.745,480,70
47.776,480,70
47.809,480,70
47.841,480,70
47.873,480,70
47.906,480,70
47.937,480,70
47.985,480,70
48.018,480,70
48.05,480,70
48.081,480,70
48.113,480,70
48.144,480,70
48.177,480,70
48.21,480,70
48.241,480,70
48.273,480,70
48.305,480,70
48.337,480,70
48.386,480,70
48.417,480,70
48.448,480,70
48.481,480,70
48.514,480,70
48.546,480,70
48.578,480,70
48.611,480,70
48.641,480,70
48.673,480,70
48.706,480,70
48.737,480,70
48.769,480,70
48.817,480,70
48.849,480,70
48.881,480,70
48.912,480,70
48.944,480,70
48.977,480,70
49.009,480,70
49.041,480,70
49.074,480,70
49.106,480,70
49.139,480,70
49.168,480,70
49.218,480,70
49.25,480,70
49.282,480,70
49.313,480,70
49.346,480,70
49.377,480,70
49.409,480,70
49.441,480,70
49.473,480,70
49.505,480,70
49.536,480,70
49.586,480,70
49.617,480,70
49.649,480,70
49.681,480,70
49.713,480,70
49.745,480,70
49.777,480,70
49.809,480,70
49.841,480,70
49.873,480,70
49.906,480,70
49.937,480,70
49.97,480,70
50.017,480,70
50.05,480,70
50.082,480,70
50.114,480,70
50.145,480,70
50.176,480,70
50.208,480,70
50.241,480,70
50.273,480,70
50.305,480,70
50.337,480,70
50.37,480,70
50.418,480,70
50.45,480,70
50.482,480,70
50.514,480,70
50.546,480,70
50.577,480,70
50.611,480,70
50.641,480,70
50.675,480,70
50.704,480,70
50.736,480,70
50.769,480,70
50.819,480,70
50.85,480,70
50.883,480,70
50.913,480,70
50.945,480,70
50.977,480,70
51.01,480,70
51.041,480,70
51.074,480,70
51.106,480,70
51.138,480,70
51.17,480,70
51.218,480,70
51.25,480,70
51.282,480,70
51.314,480,70
51.346,480,70
51.377,480,70
51.41,480,70
51.441,480,70
51.473,480,70
51.506,480,70
51.539,480,70
51.569,480,70
51.619,480,70
51.65,480,70
51.681,480,70
51.713,480,70
51.744,480,70
51.776,480,70
51.809,480,70
51.841,480,70
51.874,480,70
51.905,480,70
51.937,480,70
51.969,480,70
52.018,480,70
52.049,480,70
52.081,480,70
52.114,480,70
52.145,480,70
52.178,480,70
52.209,480,70
52.242,480,70
52.273,480,70
52.305,480,70
52.337,480,70
52.37,480,70
52.418,480,70
52.45,480,70
52.481,480,70
52.514,480,70
52.545,480,70
52.578,480,70
52.609,480,70
52.641,480,70
52.674,480,70
52.706,480,70
52.737,480,70
52.769,480,70
52.817,480,70
52.849,480,70
52.882,480,70
52.914,480,70
52.945,480,70
52.979,480,70
53.009,480,70
