elapsed_time,servo_val,motor_speed
0.001,570,0
0.094,570,0
0.126,570,0
0.159,570,0
0.189,570,0
0.222,570,0
0.254,570,0
0.302,570,0
0.334,570,0
0.366,570,0
0.398,570,0
0.43,570,0
0.463,570,0
0.496,570,0
0.526,570,0
0.559,570,0
0.591,570,0
0.622,570,0
0.654,570,0
0.702,570,0
0.735,570,0
0.767,570,0
0.799,570,0
0.831,570,0
0.863,570,0
0.895,570,0
0.927,570,0
0.959,570,0
0.991,570,0
1.022,570,0
1.054,570,0
1.102,570,0
1.133,570,0
1.165,570,0
1.198,570,0
1.232,570,0
1.263,570,0
1.295,570,0
1.327,570,0
1.359,570,0
1.391,570,0
1.423,570,0
1.455,570,0
1.503,570,0
1.534,570,0
1.567,570,0
1.598,570,0
1.63,570,0
1.662,570,0
1.695,570,0
1.726,570,0
1.758,570,0
1.79,570,0
1.822,570,0
1.854,570,0
1.903,570,0
1.935,570,0
1.966,570,0
1.999,570,0
2.03,570,0
2.062,570,0
2.095,570,0
2.126,570,0
2.16,570,0
2.191,570,0
2.222,570,0
2.253,570,0
2.301,570,70
2.334,570,70
2.367,570,70
2.398,570,70
2.431,570,70
2.463,570,70
2.495,570,70
2.526,570,70
2.56,570,70
2.59,570,70
2.623,570,70
2.655,570,70
2.703,570,70
2.735,570,70
2.766,570,70
2.798,570,70
2.83,570,70
2.862,570,70
2.894,570,70
2.926,570,70
2.958,570,70
2.991,570,70
3.022,570,70
3.054,570,70
3.103,570,70
3.134,570,70
3.167,570,70
3.198,570,70
3.231,570,70
3.262,570,70
3.293,570,70
3.327,570,70
3.359,570,70
3.391,570,70
3.422,570,70
3.455,570,70
3.503,570,70
3.535,570,70
3.566,570,70
3.6,570,70
3.63,570,70
3.662,570,70
3.694,570,70
3.726,570,70
3.759,570,70
3.791,570,70
3.823,570,70
3.855,570,70
3.903,570,70
3.934,570,70
3.966,570,70
3.997,570,70
4.03,570,70
4.062,570,70
4.094,570,70
4.126,570,70
4.158,570,70
4.19,570,70
4.222,570,70
4.254,570,70
4.287,570,70
4.334,570,70
4.366,570,70
4.398,570,70
4.43,570,70
4.462,570,70
4.494,570,70
4.527,570,70
4.558,570,70
4.59,570,70
4.622,570,70
4.653,570,70
4.701,570,70
4.734,570,70
4.766,570,70
4.798,570,70
4.83,570,70
4.862,570,70
4.895,570,70
4.926,570,70
4.958,570,70
4.99,570,70
5.022,570,70
5.054,570,70
5.103,570,70
5.135,570,70
5.166,570,70
5.199,570,70
5.231,570,70
5.262,570,70
5.297,570,70
5.33,570,70
5.36,570,70
5.391,570,70
5.424,570,70
5.457,570,70
5.485,570,70
5.535,570,70
5.566,570,70
5.598,570,70
5.63,570,70
5.662,570,70
5.694,570,70
5.726,570,70
5.758,570,70
5.79,570,70
5.821,570,70
5.854,570,70
5.885,570,70
5.933,570,70
5.966,570,70
5.997,570,70
6.03,570,70
6.062,570,70
6.094,570,70
6.126,570,70
6.159,570,70
6.19,570,70
6.222,570,70
6.255,570,70
6.286,570,70
6.335,570,70
6.367,570,70
6.398,570,70
6.432,570,70
6.463,570,70
6.494,570,70
6.525,570,70
6.559,570,70
6.59,570,70
6.622,570,70
6.654,570,70
6.686,570,70
6.734,570,70
6.766,570,70
6.799,570,70
6.831,570,70
6.862,570,70
6.894,570,70
6.927,570,70
6.958,570,70
6.991,570,70
7.024,570,70
7.055,570,70
7.087,570,70
7.136,570,70
7.167,570,70
7.199,480,70
7.231,480,70
7.264,480,70
7.294,570,70
7.327,570,70
7.358,570,70
7.39,570,70
7.422,570,70
7.454,570,70
7.487,570,70
7.536,570,70
7.567,570,70
7.599,570,70
7.631,570,70
7.663,570,70
7.694,570,70
7.726,570,70
7.758,570,70
7.791,570,70
7.823,570,70
7.855,570,70
7.888,570,70
7.934,570,70
7.968,570,70
7.999,570,70
8.031,570,70
8.063,570,70
8.095,570,70
8.127,570,70
8.16,570,70
8.191,570,70
8.223,570,70
8.256,570,70
8.287,570,70
8.335,570,70
8.366,570,70
8.398,570,70
8.429,570,70
8.462,570,70
8.496,570,70
8.527,570,70
8.559,570,70
8.591,570,70
8.622,570,70
8.654,570,70
8.687,570,70
8.718,570,70
8.766,570,70
8.798,570,70
8.83,570,70
8.862,570,70
8.894,570,70
8.926,570,70
8.958,570,70
8.991,570,70
9.022,570,70
9.054,570,70
9.086,570,70
9.136,570,70
9.167,570,70
9.198,570,70
9.23,570,70
9.263,570,70
9.295,570,70
9.327,570,70
9.36,570,70
9.39,570,70
9.422,570,70
9.454,570,70
9.486,570,70
9.518,570,70
9.568,570,70
9.598,570,70
9.632,570,70
9.662,570,70
9.695,570,70
9.727,570,70
9.76,570,70
9.792,570,70
9.823,570,70
9.856,570,70
9.886,570,70
9.919,570,70
9.967,570,70
9.999,570,70
10.03,570,70
10.063,570,70
10.095,570,70
10.126,680,70
10.158,680,70
10.191,570,70
10.223,570,70
10.255,570,70
10.288,570,70
10.335,570,70
10.366,570,70
10.399,570,70
10.431,570,70
10.462,570,70
10.495,570,70
10.526,570,70
10.558,570,70
10.591,570,70
10.624,570,70
10.654,570,70
10.686,570,70
10.718,570,70
10.768,570,70
10.8,570,70
10.831,570,70
10.862,570,70
10.895,570,70
10.927,570,70
10.958,570,70
10.991,570,70
11.024,570,70
11.054,570,70
11.086,570,70
11.118,570,70
11.167,570,70
11.199,570,70
11.229,570,70
11.262,570,70
11.295,570,70
11.326,570,70
11.359,570,70
11.391,570,70
11.423,570,70
11.456,570,70
11.486,570,70
11.519,570,70
11.568,570,70
11.599,570,70
11.631,570,70
11.663,570,70
11.695,570,70
11.727,570,70
11.759,570,70
11.792,570,70
11.824,570,70
11.855,570,70
11.887,570,70
11.919,570,70
11.968,570,70
11.998,570,70
12.03,570,70
12.063,570,70
12.095,570,70
12.127,570,70
12.159,570,70
12.19,570,70
12.222,570,70
12.254,570,70
12.286,570,70
12.318,570,70
12.367,570,70
12.398,570,70
12.431,570,70
12.462,570,70
12.495,570,70
12.526,570,70
12.558,570,70
12.591,570,70
12.623,570,70
12.654,680,70
12.688,680,70
12.718,680,70
12.751,680,70
12.798,680,70
12.83,680,70
12.861,680,70
12.895,680,70
12.926,680,70
12.959,680,70
12.991,680,70
13.022,680,70
13.054,680,70
13.087,680,70
13.118,680,70
13.167,680,70
13.199,680,70
13.232,680,70
13.261,680,70
13.294,680,70
13.326,680,70
13.358,680,70
13.391,680,70
